INFO:root:Episode 640 | Avg Reward: 5.50 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 650 | Avg Reward: 7.00 | Epsilon: 0.010 | Win Rate: 89.00%
INFO:root:Episode 660 | Avg Reward: 6.80 | Epsilon: 0.010 | Win Rate: 89.00%
INFO:root:Episode 670 | Avg Reward: 7.20 | Epsilon: 0.010 | Win Rate: 91.00%
INFO:root:Episode 680 | Avg Reward: 4.50 | Epsilon: 0.010 | Win Rate: 89.00%
INFO:root:Episode 690 | Avg Reward: 5.60 | Epsilon: 0.010 | Win Rate: 90.00%
INFO:root:Episode 700 | Avg Reward: 7.20 | Epsilon: 0.010 | Win Rate: 91.00%
INFO:root:Episode 710 | Avg Reward: 8.50 | Epsilon: 0.010 | Win Rate: 92.00%
INFO:root:Episode 720 | Avg Reward: 8.20 | Epsilon: 0.010 | Win Rate: 91.00%
INFO:root:Episode 730 | Avg Reward: 8.80 | Epsilon: 0.010 | Win Rate: 92.00%
INFO:root:Episode 740 | Avg Reward: 8.50 | Epsilon: 0.010 | Win Rate: 91.00%
INFO:root:Episode 750 | Avg Reward: 6.60 | Epsilon: 0.010 | Win Rate: 90.00%
INFO:root:Episode 760 | Avg Reward: 8.20 | Epsilon: 0.010 | Win Rate: 91.00%
INFO:root:Episode 770 | Avg Reward: 8.80 | Epsilon: 0.010 | Win Rate: 89.00%
INFO:root:Episode 780 | Avg Reward: 9.80 | Epsilon: 0.010 | Win Rate: 91.00%
INFO:root:Episode 790 | Avg Reward: 8.80 | Epsilon: 0.010 | Win Rate: 89.00%
INFO:root:Episode 800 | Avg Reward: 7.40 | Epsilon: 0.010 | Win Rate: 88.00%
INFO:root:Episode 810 | Avg Reward: 3.40 | Epsilon: 0.010 | Win Rate: 84.00%
INFO:root:Episode 820 | Avg Reward: 2.00 | Epsilon: 0.010 | Win Rate: 83.00%
INFO:root:Episode 830 | Avg Reward: 1.70 | Epsilon: 0.010 | Win Rate: 82.00%
INFO:root:Episode 840 | Avg Reward: 1.40 | Epsilon: 0.010 | Win Rate: 81.00%
INFO:root:Episode 850 | Avg Reward: 2.80 | Epsilon: 0.010 | Win Rate: 81.00%
INFO:root:Episode 860 | Avg Reward: 0.00 | Epsilon: 0.010 | Win Rate: 79.00%
INFO:root:Episode 870 | Avg Reward: -1.40 | Epsilon: 0.010 | Win Rate: 80.00%
INFO:root:Episode 880 | Avg Reward: -2.00 | Epsilon: 0.010 | Win Rate: 79.00%
INFO:root:Episode 890 | Avg Reward: -1.10 | Epsilon: 0.010 | Win Rate: 81.00%
INFO:root:Episode 900 | Avg Reward: -1.80 | Epsilon: 0.010 | Win Rate: 80.00%
INFO:root:Episode 910 | Avg Reward: 2.00 | Epsilon: 0.010 | Win Rate: 83.00%
INFO:root:Episode 920 | Avg Reward: 3.50 | Epsilon: 0.010 | Win Rate: 85.00%
INFO:root:Episode 930 | Avg Reward: 2.80 | Epsilon: 0.010 | Win Rate: 85.00%
INFO:root:Episode 940 | Avg Reward: 2.80 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 950 | Avg Reward: 1.30 | Epsilon: 0.010 | Win Rate: 87.00%
INFO:root:Episode 960 | Avg Reward: 0.80 | Epsilon: 0.010 | Win Rate: 88.00%
INFO:root:Episode 970 | Avg Reward: 2.20 | Epsilon: 0.010 | Win Rate: 87.00%
INFO:root:Episode 980 | Avg Reward: 2.60 | Epsilon: 0.010 | Win Rate: 87.00%
INFO:root:Episode 990 | Avg Reward: 2.50 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 1000 | Avg Reward: 0.40 | Epsilon: 0.010 | Win Rate: 85.00%
INFO:root:Episode 1010 | Avg Reward: -1.00 | Epsilon: 0.010 | Win Rate: 84.00%
INFO:root:Episode 1020 | Avg Reward: -0.30 | Epsilon: 0.010 | Win Rate: 85.00%
INFO:root:Episode 1030 | Avg Reward: 1.20 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 1040 | Avg Reward: 1.60 | Epsilon: 0.010 | Win Rate: 86.00%
INFO:root:Episode 1050 | Avg Reward: 2.90 | Epsilon: 0.010 | Win Rate: 85.00%
INFO:root:Episode 1060 | Avg Reward: 6.40 | Epsilon: 0.010 | Win Rate: 87.00%
INFO:root:Episode 1070 | Avg Reward: 5.50 | Epsilon: 0.010 | Win Rate: 88.00%
INFO:root:Episode 1080 | Avg Reward: 5.80 | Epsilon: 0.010 | Win Rate: 89.00%
INFO:root:Episode 1090 | Avg Reward: 6.40 | Epsilon: 0.010 | Win Rate: 90.00%
INFO:root:Episode 1100 | Avg Reward: 9.00 | Epsilon: 0.010 | Win Rate: 92.00%
